,max_Df_complete
MDH2,95.28763057976799
HEX1,42.46436149078254
G6PDH2r,11.55945530103298
PGL,13.357537817774034
GND,13.357537817774094
CS,43.28490213415385
MALS,60.238370954831296
ACONTb,9.864361490782443
GAPP,50.473662438666345
PFL,75.30545889122811
PGI_reverse,11.559455299777042
ICL,28.717830311459917
FUM,30.728720981565004
RPE,12.810096808994496
ACONTa,9.864361490782432
SUCDi,61.3178323114597
HSDy_reverse,47.532931175954744
ACALD,42.97798060650166
GHMT2r_reverse,36.46708993639643
ASPK,14.867087936396654
THRA,54.120558757073916
HSK,66.56708793639666
THRS,92.94654929302507
ASPTA_reverse,29.887628579768226
MTHFD_reverse,25.60272844561409
FTHFLi,36.64109740044561
MTHFC_reverse,21.528720981565005
GLUDy_reverse,29.88762857976809
ASAD_reverse,30.458923711905793
EDD,58.730736318212074
EDA,44.88218980224249
TALA,13.254551108771611
TKT2,13.254551108771677
LALDO3,42.06708793639665
LCADi,84.76708793639665
RPI_reverse,15.755834127206366
TKT1,15.755834129063471
TPI_reverse,15.755834127206306
L_LACD2,111.85744196313001
MGSA,99.40930294788382
